
"Time";"NO";"NO2";"CO";"NOx";"PumpFlow";
"10/22/2018 16:04:43";"370";"110";"18";"480";"96.5";
"10/22/2018 16:04:44";"373";"110";"19";"483";"96.5";
"10/22/2018 16:04:45";"375";"109";"18";"484";"96.6";
"10/22/2018 16:04:46";"378";"108";"17";"486";"96.6";
"10/22/2018 16:04:47";"381";"106";"17";"487";"96.6";
"10/22/2018 16:04:48";"383";"105";"18";"488";"96.6";
"10/22/2018 16:04:49";"383";"105";"18";"488";"96.6";
"10/22/2018 16:04:51";"388";"103";"17";"491";"96.5";
"10/22/2018 16:04:52";"391";"102";"18";"493";"96.5";
"10/22/2018 16:04:53";"396";"99";"16";"493";"96.4";
"10/22/2018 16:04:54";"398";"98";"16";"496";"96.4";
"10/22/2018 16:04:55";"400";"97";"17";"497";"96.3";
"10/22/2018 16:04:56";"400";"96";"16";"496";"96.3";
"10/22/2018 16:04:57";"403";"95";"15";"498";"96.2";
"10/22/2018 16:04:58";"405";"94";"15";"499";"96.2";
"10/22/2018 16:04:59";"408";"94";"15";"502";"96.2";
"10/22/2018 16:05:00";"410";"93";"14";"503";"96.2";
"10/22/2018 16:05:01";"412";"92";"15";"504";"96.1";
"10/22/2018 16:05:03";"415";"91";"15";"506";"96.1";
"10/22/2018 16:05:04";"417";"90";"14";"507";"96.0";
"10/22/2018 16:05:05";"422";"88";"14";"507";"96.0";
"10/22/2018 16:05:06";"424";"86";"14";"510";"95.8";
"10/22/2018 16:05:07";"426";"85";"13";"511";"95.8";
"10/22/2018 16:05:08";"428";"84";"13";"512";"95.7";
"10/22/2018 16:05:09";"430";"83";"13";"513";"95.7";
"10/22/2018 16:05:10";"432";"82";"13";"514";"95.7";
"10/22/2018 16:05:11";"432";"81";"12";"513";"95.7";
"10/22/2018 16:05:12";"434";"81";"11";"515";"95.7";
"10/22/2018 16:05:13";"436";"81";"13";"517";"95.7";
"10/22/2018 16:05:15";"438";"80";"13";"518";"95.7";
"10/22/2018 16:05:16";"440";"78";"12";"518";"95.7";
"10/22/2018 16:05:17";"444";"77";"12";"521";"95.7";
"10/22/2018 16:05:18";"446";"76";"12";"522";"95.7";
"10/22/2018 16:05:19";"447";"75";"12";"522";"95.7";
"10/22/2018 16:05:20";"449";"74";"11";"523";"95.7";
"10/22/2018 16:05:21";"451";"73";"12";"524";"95.7";
"10/22/2018 16:05:22";"452";"72";"12";"524";"95.7";
"10/22/2018 16:05:23";"454";"71";"12";"525";"95.7";
"10/22/2018 16:05:24";"456";"70";"11";"526";"95.7";
"10/22/2018 16:05:26";"456";"69";"12";"525";"95.7";
"10/22/2018 16:05:27";"457";"69";"11";"526";"95.7";
"10/22/2018 16:05:28";"460";"68";"12";"527";"95.7";
"10/22/2018 16:05:29";"462";"67";"10";"529";"95.6";
"10/22/2018 16:05:30";"463";"66";"10";"529";"95.6";
"10/22/2018 16:05:31";"465";"65";"10";"530";"95.5";
"10/22/2018 16:05:32";"466";"64";"10";"530";"95.5";
"10/22/2018 16:05:33";"468";"64";"10";"532";"95.5";
"10/22/2018 16:05:34";"469";"63";"10";"532";"95.5";
"10/22/2018 16:05:35";"471";"63";"9";"534";"95.5";
"10/22/2018 16:05:36";"472";"61";"9";"533";"95.5";
"10/22/2018 16:05:38";"473";"60";"8";"533";"95.5";
"10/22/2018 16:05:39";"475";"60";"8";"535";"95.4";
"10/22/2018 16:05:40";"476";"59";"8";"535";"95.4";
"10/22/2018 16:05:41";"477";"58";"8";"534";"95.4";
"10/22/2018 16:05:42";"479";"57";"8";"536";"95.3";
"10/22/2018 16:05:43";"480";"57";"8";"537";"95.3";
"10/22/2018 16:05:44";"482";"56";"8";"538";"95.2";
"10/22/2018 16:05:45";"483";"55";"8";"538";"95.2";
"10/22/2018 16:05:46";"485";"54";"8";"539";"95.2";
"10/22/2018 16:05:47";"486";"54";"6";"540";"95.2";
"10/22/2018 16:05:48";"486";"54";"6";"540";"95.1";
"10/22/2018 16:05:49";"489";"52";"6";"541";"95.0";
"10/22/2018 16:05:51";"490";"51";"6";"541";"95.0";
"10/22/2018 16:05:52";"491";"51";"6";"542";"95.0";
"10/22/2018 16:05:53";"493";"49";"6";"542";"95.0";
"10/22/2018 16:05:54";"493";"49";"5";"542";"95.0";
"10/22/2018 16:05:55";"495";"48";"5";"543";"95.0";
"10/22/2018 16:05:56";"496";"47";"5";"543";"94.9";
"10/22/2018 16:05:57";"497";"47";"5";"544";"94.9";
"10/22/2018 16:05:58";"498";"47";"5";"545";"94.9";
"10/22/2018 16:05:59";"499";"46";"6";"545";"94.9";
"10/22/2018 16:06:00";"501";"45";"6";"546";"94.9";
"10/22/2018 16:06:01";"501";"45";"5";"546";"94.8";
"10/22/2018 16:06:02";"502";"44";"5";"546";"94.8";
"10/22/2018 16:06:04";"503";"44";"5";"547";"94.8";
"10/22/2018 16:06:05";"504";"43";"5";"547";"94.8";
"10/22/2018 16:06:06";"506";"43";"5";"548";"94.8";
"10/22/2018 16:06:07";"507";"42";"6";"549";"94.7";
"10/22/2018 16:06:08";"507";"42";"5";"549";"94.7";
"10/22/2018 16:06:09";"507";"41";"5";"548";"94.7";
"10/22/2018 16:06:10";"508";"41";"4";"549";"94.6";
"10/22/2018 16:06:11";"509";"40";"5";"549";"94.6";
"10/22/2018 16:06:12";"509";"40";"4";"549";"94.6";
"10/22/2018 16:06:13";"509";"40";"4";"549";"94.6";
"10/22/2018 16:06:14";"510";"40";"5";"550";"94.6";
"10/22/2018 16:06:16";"511";"40";"5";"551";"94.6";
"10/22/2018 16:06:17";"511";"39";"3";"550";"94.6";
"10/22/2018 16:06:18";"512";"39";"3";"551";"94.6";
"10/22/2018 16:06:19";"512";"39";"3";"551";"94.5";
"10/22/2018 16:06:20";"512";"39";"3";"551";"94.4";
"10/22/2018 16:06:21";"512";"39";"3";"551";"94.4";
"10/22/2018 16:06:22";"512";"38";"3";"550";"94.4";
"10/22/2018 16:06:23";"512";"38";"2";"550";"94.4";
"10/22/2018 16:06:25";"512";"38";"2";"550";"94.4";
"10/22/2018 16:06:26";"512";"38";"2";"550";"94.4";
"10/22/2018 16:06:27";"512";"38";"2";"550";"94.5";
"10/22/2018 16:06:28";"512";"38";"2";"550";"94.4";
"10/22/2018 16:06:29";"513";"38";"2";"551";"94.4";
"10/22/2018 16:06:30";"513";"38";"2";"551";"94.4";
"10/22/2018 16:06:31";"513";"38";"1";"551";"94.3";
"10/22/2018 16:06:32";"513";"38";"1";"551";"94.4";
"10/22/2018 16:06:33";"513";"38";"2";"551";"94.4";
"10/22/2018 16:06:35";"513";"37";"2";"550";"94.3";
"10/22/2018 16:06:36";"513";"38";"2";"551";"94.3";
"10/22/2018 16:06:37";"514";"37";"3";"551";"94.3";
"10/22/2018 16:06:38";"514";"37";"1";"551";"94.2";
"10/22/2018 16:06:39";"514";"37";"1";"551";"94.2";
"10/22/2018 16:06:40";"514";"37";"1";"551";"94.1";
"10/22/2018 16:06:41";"514";"37";"1";"551";"94.1";
"10/22/2018 16:06:42";"514";"37";"1";"551";"94.1";
"10/22/2018 16:06:43";"514";"37";"1";"551";"94.0";
"10/22/2018 16:06:44";"515";"37";"1";"552";"94.0";
"10/22/2018 16:06:46";"515";"37";"1";"552";"94.0";
"10/22/2018 16:06:47";"516";"36";"1";"551";"93.9";
"10/22/2018 16:06:48";"516";"36";"2";"552";"93.9";
"10/22/2018 16:06:49";"516";"36";"1";"552";"93.9";
"10/22/2018 16:06:50";"516";"36";"1";"552";"93.8";
"10/22/2018 16:06:51";"517";"36";"1";"553";"93.6";
"10/22/2018 16:06:52";"517";"36";"2";"553";"93.6";
"10/22/2018 16:06:53";"517";"36";"1";"553";"93.6";
"10/22/2018 16:06:54";"518";"36";"1";"554";"93.7";
"10/22/2018 16:06:55";"518";"36";"1";"554";"93.7";
"10/22/2018 16:06:56";"519";"36";"2";"555";"93.8";
"10/22/2018 16:06:58";"519";"35";"2";"554";"93.9";
"10/22/2018 16:06:59";"520";"35";"2";"555";"93.9";
"10/22/2018 16:07:00";"521";"35";"2";"556";"93.9";
"10/22/2018 16:07:01";"522";"35";"3";"557";"93.9";
"10/22/2018 16:07:02";"522";"35";"3";"557";"93.9";
"10/22/2018 16:07:03";"523";"35";"3";"558";"93.9";
"10/22/2018 16:07:04";"523";"35";"1";"558";"93.8";
"10/22/2018 16:07:05";"524";"34";"3";"558";"93.8";
"10/22/2018 16:07:07";"524";"34";"3";"558";"93.7";
"10/22/2018 16:07:08";"524";"34";"3";"558";"93.7";
"10/22/2018 16:07:09";"525";"34";"1";"559";"93.6";
"10/22/2018 16:07:10";"526";"34";"2";"560";"93.6";
"10/22/2018 16:07:11";"526";"33";"1";"559";"93.7";
"10/22/2018 16:07:12";"526";"33";"1";"559";"93.7";
"10/22/2018 16:07:13";"526";"33";"1";"559";"93.7";
"10/22/2018 16:07:14";"527";"33";"1";"560";"93.7";
"10/22/2018 16:07:15";"527";"33";"1";"560";"93.8";
"10/22/2018 16:07:16";"527";"32";"1";"559";"93.8";
"10/22/2018 16:07:17";"527";"32";"0";"559";"93.8";
"10/22/2018 16:07:19";"527";"32";"0";"559";"93.8";
"10/22/2018 16:07:20";"527";"32";"1";"559";"93.8";
"10/22/2018 16:07:21";"527";"32";"0";"559";"93.8";
"10/22/2018 16:07:22";"527";"32";"0";"559";"93.8";
"10/22/2018 16:07:23";"528";"32";"0";"560";"93.8";
